Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
2000-03-15,6.71,5.5,19,5,2.25,5.25,5.85,12,5.25,3.6,6,7.25,10,12,,9.9,8,9.6,,5,9.5,14.42,5.5,5.5,5.75,,8.75,17.5,,26.34,38,6.25,3.75,,,5.75,3.25,11.75
2000-03-16,6.71,5.5,19,5,2.25,5.25,5.85,12,5.25,3.6,6,7.25,10,12,,9.9,8,9.6,,5,9.5,14.48,5.5,5.5,5.75,,8.75,17.5,,26.34,38,,3.75,,,5.75,3.25,11.75
2000-03-17,6.48,5.5,19,5,2.25,5.5,5.85,12,5.25,3.85,6,7.25,10,12,,9.9,8,9.6,,5,9.5,15.12,5.5,5.5,5.75,,8.75,17.5,,26.34,38,,3.75,,,5.75,3.5,11.75
2000-03-18,NaN,,19,NaN,,NaN,5.85,12,,,,7.25,NaN,NaN,,9.9,,NaN,,5,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,26.34,NaN,6.25,,,,5.75,3.5,11.75
2000-03-19,NaN,,19,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.9,,NaN,,,NaN,NaN,5.5,NaN,NaN,,NaN,NaN,,26.34,NaN,6.25,,,,5.75,3.5,NaN
2000-03-20,6.28,5.5,19,5,2.25,5.5,5.85,12,5.25,3.85,6,7.25,10,12,,9.9,8,9.6,,5,9.5,14.83,5.5,5.5,5.75,,8.75,17.5,,26.34,38,6.25,3.75,,,5.75,3.5,11.75
2000-03-21,6.07,5.5,19,5,2.25,5.5,5.85,12,5.25,3.85,6,7.25,10,12,,9.9,8,9.6,,5,9.5,NaN,5.5,5.5,5.75,,8.75,17.5,,26.34,33,6.25,3.75,,,6,3.5,NaN
2000-03-22,5.99,5.5,19,5.25,2.25,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.9,8,9.6,,5,9.5,14.34,5.5,5.5,5.75,,8.75,17.5,,26.34,33,6.25,3.75,,,6,3.5,11.75
2000-03-23,6.02,5.5,19,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.9,8,9.6,,5,9.5,14.06,5.5,5.5,5.75,,8.75,17.5,,26.34,33,,3.75,,,6,3.5,11.75
2000-03-24,5.98,5.5,19,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.9,8,9.6,,5,9.5,13.63,5.5,5.5,5.75,,8.75,17.5,,26.34,33,,3.75,,,6,3.5,11.75
2000-03-25,NaN,,19,NaN,,NaN,5.85,12,,,,7.5,NaN,NaN,,9.9,,NaN,,5,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,26.34,NaN,6.25,,,,6,3.5,11.75
2000-03-26,NaN,,19,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.9,,NaN,,,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,26.34,NaN,6.25,,,,6,3.5,NaN
2000-03-27,6.02,5.5,19,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.9,8,9.6,,5,9.5,13.95,5.5,5.5,5.75,,8.75,17.5,,26.34,33,6.25,3.75,,,6,3.5,11.75
2000-03-28,6.01,5.5,19,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.9,8,9.6,,5,9.5,14.08,5.5,5.5,5.75,,8.75,17.5,,26.34,33,6.25,3.75,,,6,3.5,11.75
2000-03-29,5.98,5.5,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.9,8,9.6,,5,9.5,14.32,5.5,5.5,5.75,,8.75,17.5,,26.34,33,6.25,3.75,,,6,3.5,11.75
2000-03-30,5.98,5.5,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.6,8,9.6,,5,9.5,13.79,5.5,5.5,5.75,,8.75,17.5,,26.34,33,,3.75,,,6,3.5,11.75
2000-03-31,6.37,5.5,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,12,,9.6,8,9.6,,5,9.5,13.87,5.5,5.5,5.75,,8.75,17.5,,26.34,33,,3.75,,,6,3.5,11.75
2000-04-01,NaN,,18.5,NaN,,NaN,5.85,12,,,,7.5,NaN,NaN,,9.6,,NaN,,5,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,11.75
2000-04-02,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.6,7,NaN,,,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,NaN
2000-04-03,6.43,5.5,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.5,13.88,5.5,5.5,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-04,7.05,5.5,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,NaN,10,11,,9.6,7,9.6,,5,9.5,13.89,5.5,5.5,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-05,6.6,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,,9.5,14.39,5.5,5.5,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-06,6.51,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.5,13.84,5.5,5.5,5.75,,8.75,17.5,,27.33,33,,3.75,,,6,3.5,11.75
2000-04-07,6.72,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.5,13.62,5.5,5.5,5.75,,8.75,17.5,,27.33,33,,3.75,,,6,3.5,11.75
2000-04-08,NaN,,18.5,NaN,,NaN,5.85,12,,,,7.5,NaN,NaN,,9.6,,NaN,,5,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,11.75
2000-04-09,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.6,,NaN,,,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,NaN
2000-04-10,6.79,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.5,13.4,5.5,5.5,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-11,6.89,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.5,14.02,5.5,5.5,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-12,6.82,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.5,14.24,5.5,5.5,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-13,6.65,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,,9.5,13.48,5.5,5.75,5.75,,8.75,17.5,,27.33,33,,3.75,,,6,3.5,11.75
2000-04-14,6.53,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.5,14.34,5.5,5.75,5.75,,8.75,17.5,,27.33,33,,3.75,,,6,3.5,11.75
2000-04-15,NaN,,18.5,NaN,,NaN,5.85,12,,,,7.5,NaN,NaN,,9.6,,NaN,,5,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,11.75
2000-04-16,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.6,,NaN,,,NaN,NaN,5.5,NaN,5.75,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,NaN
2000-04-17,6.61,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.45,14.66,5.5,5.75,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-18,6.61,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.45,14.23,5.5,5.75,5.75,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-19,6.83,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.45,14.56,5.5,5.75,6,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-20,NaN,5.75,18.5,5.25,3,5.5,5.85,12,5.25,NaN,6,7.5,10,11,,9.6,7,NaN,,5,9.45,NaN,5.5,NaN,6,,NaN,17.5,,27.33,33,,3.75,,,6,3.5,11.75
2000-04-21,NaN,,18.5,5.25,3,NaN,5.85,12,5.25,NaN,NaN,NaN,10,11,,9.6,7,NaN,,5,9.45,NaN,5.5,NaN,6,,NaN,17.5,,27.33,33,,NaN,,,6,3.5,NaN
2000-04-22,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.6,,NaN,,5,NaN,NaN,5.5,NaN,6,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,11.75
2000-04-23,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.6,,NaN,,,NaN,NaN,5.5,NaN,6,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.5,NaN
2000-04-24,6.83,,18.5,5.25,3,5.5,5.85,12,5.25,NaN,NaN,NaN,NaN,11,,9.6,7,NaN,,5,9.45,14.69,5.5,NaN,6,,8.75,NaN,,27.33,33,6.25,NaN,,,6,3.5,NaN
2000-04-25,6.7,,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.6,7,9.6,,5,9.45,13.96,5.5,5.75,6,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-26,6.58,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,9.92,11,,9.6,7,9.6,,5,9.45,13.66,5.5,5.75,6,,8.75,17.5,,27.33,33,6.25,3.75,,,6,3.5,11.75
2000-04-27,6.46,5.75,18.5,5.25,3,5.5,5.85,12,5.25,3.85,6,7.5,10,11,,9.3,7,9.6,,5,9.45,14.19,5.5,5.75,6,,8.75,17.5,,27.33,33,,3.75,,,6,3.5,NaN
2000-04-28,6.31,5.75,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,10,11,,9.3,7,9.6,,5,9.45,14.46,5.5,5.75,6,,8.75,17.5,,27.33,33,,3.75,,,6,3.75,11.75
2000-04-29,NaN,,18.5,NaN,,NaN,5.85,12,,,,7.5,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.75,11.75
2000-04-30,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6,,NaN,NaN,,27.33,NaN,6.25,,,,6,3.75,NaN
2000-05-01,NaN,5.75,18.5,5.25,3,NaN,5.85,12,5.25,4.1,NaN,NaN,NaN,11,,9.3,7,NaN,,,9.45,NaN,5.5,NaN,6,,NaN,NaN,,26.34,33,6.25,NaN,,,6,3.75,NaN
2000-05-02,7.15,5.75,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,10,11,,9.3,7,9.6,,5,9.45,13.97,5.5,5.75,6,,9,17.5,,26.34,33,6.25,3.75,,,6,3.75,11.75
2000-05-03,7.47,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,10,11,,9.3,7,9.6,,5,9.45,14.39,5.5,5.75,6,,9,NaN,,26.34,33,6.75,3.75,,,6,3.75,11.75
2000-05-04,7.05,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,8,11,,9.3,7,9.6,,5,9.45,14.3,5.5,5.75,6,,9,17.5,,26.34,33,,3.75,,,6,3.75,11.75
2000-05-05,7.21,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,8,11,,9.3,7,9.6,,,9.45,NaN,5.5,5.75,6,,9,17.5,,26.34,33,,3.75,,,6,3.75,11.75
2000-05-06,NaN,,18.5,NaN,,NaN,5.85,12,,,,7.5,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6,,NaN,NaN,,26.34,NaN,6.75,,,,6,3.75,11.75
2000-05-07,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6,,NaN,NaN,,26.34,NaN,6.75,,,,6,3.75,NaN
2000-05-08,7.04,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,7.96,11,,9.3,7,9.6,,5,9.59,14.5,5.5,5.75,6,,9,17.5,,26.34,33,6.75,3.75,,,6,3.75,11.75
2000-05-09,7.07,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,8,11,,9.3,7,9.6,,5,9.59,14.56,5.5,5.75,6,,9,17.5,,26.34,33,6.75,3.75,,,6,3.75,11.75
2000-05-10,7.48,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,9.92,11,,9.3,7,9.6,,5,9.59,14.28,5.5,5.75,6,,9,17.5,,26.34,33,6.75,3.75,,,6,3.75,11.75
2000-05-11,7.53,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,NaN,9.96,11,,9.3,7,9.6,,,9.59,14.2,5.5,5.75,6,,9,17.5,,26.34,33,,3.75,,,6,3.75,11.75
2000-05-12,7.54,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,8,11,,9.3,7,9.6,,5,9.59,14.18,5.5,5.75,6,,9,17.5,,26.34,33,,3.75,,,6,3.75,11.75
2000-05-13,NaN,,18.5,NaN,,NaN,5.85,12,,,,7.5,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6,,NaN,NaN,,26.34,NaN,6.75,,,,6,3.75,11.75
2000-05-14,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6,,NaN,NaN,,26.34,NaN,6.75,,,,6,3.75,NaN
2000-05-15,7.51,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,8,11,,9.3,7,9.6,,5,9.73,14.09,5.5,5.75,6,,9,17.5,,26.34,33,6.75,3.75,,,6,3.75,11.75
2000-05-16,7.45,6,18.5,5.25,3,5.5,5.85,12,5.25,4.1,6,7.5,8,11,,9.3,7,9.6,,5,9.73,14.11,5.5,5.75,6,,9,17.5,,26.34,33,6.75,3.75,,,6.5,3.75,11.75
2000-05-17,7.36,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,8,11,,9.3,7,9.6,,5,9.73,14.47,5.5,NaN,6.5,,9.5,17.5,,26.34,33,6.75,3.75,,,6.5,3.75,11.75
2000-05-18,6.98,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,7.22,11,,9.3,7,9.6,,5,9.73,14.45,5.5,5.75,6.5,,9.5,17.5,,26.34,33,,3.75,,,6.5,3.75,11.75
2000-05-19,6.85,6,18.5,5.75,3,5.5,5.85,12,5.25,NaN,6,8,6.64,11,,9.3,7,9.6,,5,9.73,14.27,5.5,5.75,6.5,,10,17.5,,26.34,33,,3.75,,,6.5,3.75,11.75
2000-05-20,NaN,,18.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,,,6.5,3.75,11.75
2000-05-21,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,,,6.5,3.75,NaN
2000-05-22,6.75,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,7.83,11,,9.3,7,9.6,,5,10.02,14.34,5.5,5.75,6.5,,10,17.5,,26.34,33,7,3.75,,,6.5,3.75,11.75
2000-05-23,6.68,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,8,11,,9.3,7,9.6,,5,10.02,14.92,5.5,5.75,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,3.75,11.75
2000-05-24,6.87,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,8.53,11,,9.3,7,9.6,,5,10.02,16.21,5.5,5.75,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,3.75,11.75
2000-05-25,NaN,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,7.66,11,,9.3,7,9.6,,5,10.02,16.31,5.5,5.75,6.5,,10,17.5,,26.34,33,,3.75,1.5,,6.5,3.75,11.75
2000-05-26,6.98,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,4,11,,9.3,7,9.6,,5,10.02,16.74,5.5,5.75,6.5,,10,17.5,,26.34,33,,3.75,1.5,,6.5,3.75,11.75
2000-05-27,NaN,,18.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,NaN,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,3.75,11.75
2000-05-28,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,NaN,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,3.75,NaN
2000-05-29,6.67,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,NaN,8,4,11,,9.3,7,9.6,,5,9.73,16.67,5.5,5.75,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,3.75,11.75
2000-05-30,6.65,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,NaN,11,,9.3,7,9.6,,5,9.73,16.73,5.5,5.75,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,3.75,11.75
2000-05-31,6.82,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,4,11,,9.3,7,9.6,,5,9.73,16.23,5.5,5.75,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,3.75,11.75
2000-06-01,7.51,6,18.5,5.75,3,5.5,5.85,12,5.25,NaN,6,8,4,11,,9.3,7,NaN,,5,9.73,15.69,5.5,NaN,6.5,,10,17.5,,27.33,33,,NaN,1.5,,6.5,3.75,11.75
2000-06-02,7.37,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,4,11,,9.3,7,9.6,,5,9.73,15.18,5.5,5.75,6.5,,10,17.5,,27.33,33,,3.75,1.5,,6.5,3.75,11.75
2000-06-03,NaN,,18.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,3.75,11.75
2000-06-04,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,3.75,NaN
2000-06-05,7.4,6,18.5,5.75,3,5.5,5.85,12,5.25,NaN,6,8,5,11,,9.3,7,9.6,,5,10.02,14.96,5.5,5.75,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,3.75,11.75
2000-06-06,7.45,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,NaN,5,11,,9.3,7,9.6,,,10.02,15.6,5.5,5.75,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,3.75,11.75
2000-06-07,7.15,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,5,11,,9.3,7,9.6,,5,10.02,16.66,5.5,5.75,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,3.75,11.75
2000-06-08,6.84,6,18.5,5.75,3,5.5,5.85,12,5.25,4.1,6,8,5,11,,9.3,7,9.6,,5,10.02,16.16,5.5,5.75,6.5,,10,17.5,,27.33,33,,3.75,1.5,,6.5,3.75,11.75
2000-06-09,6.9,6,18.5,5.75,3,5.5,5.85,12,5.25,4.7,6,8,5,11,,9.3,7,9.6,,5,10.02,17.04,5.5,5.75,6.5,,10,17.5,,27.33,33,,3.75,1.5,,6.5,4.25,11.75
2000-06-10,NaN,,18.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.25,11.75
2000-06-11,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.25,NaN
2000-06-12,6.86,,18.5,5.75,3,5.5,5.85,12,5.25,NaN,6,8,5,11,,9.3,7,NaN,,5,10.02,16.58,5.5,NaN,6.5,,NaN,17.5,,27.33,33,7,NaN,1.5,,6.5,4.25,11.75
2000-06-13,7.17,6,18.5,5.75,3,5.5,5.85,12,5.25,4.7,6,8,4,11,,9.3,7,9.6,,5,10.02,16.29,5.5,5.75,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-14,7.52,6,18.5,5.75,3,5.5,5.85,12,5.25,4.7,6,8,4,11,,9.3,7,9.6,,5,10.02,16.04,5.5,5.75,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-15,7.71,6,18.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,4,11,,9.3,7,9.6,,5,10.02,16.03,5.5,6.25,6.5,,10,17.5,,27.33,33,,3.75,1.5,,6.5,4.25,11.75
2000-06-16,7.78,6,18.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,4,11,,9.3,7,10.06,,5,10.02,16.82,5.5,6.25,6.5,,10,17.5,,27.33,33,,3.75,1.5,,6.5,4.25,NaN
2000-06-17,NaN,,18.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.25,11.75
2000-06-18,NaN,,18.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.25,NaN
2000-06-19,NaN,6,18.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,7.34,11,,9.3,7,10.06,,5,10.02,16.36,5.5,6.25,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-20,7.49,6,18.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,8.12,11,,9.3,7,10.06,,5,10.02,16.37,5.5,6.25,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-21,7.36,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,9.86,11,,9.3,7,10.06,,5,8.59,16.38,5.5,6.25,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-22,7.34,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,NaN,11,,9.3,7,10.06,,5,8.59,16.35,5.5,6.25,6.5,,10,NaN,,27.33,33,,3.75,1.5,,6.5,4.25,11.75
2000-06-23,6.76,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,10,11,,9.3,7,10.06,,5,8.59,16.82,5.5,6.25,6.5,,10,17.5,,27.33,33,,NaN,1.5,,6.5,4.25,11.75
2000-06-24,NaN,,17.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.25,11.75
2000-06-25,NaN,,17.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,27.33,NaN,7,,1.5,,6.5,4.25,NaN
2000-06-26,6.51,6,17.5,5.75,3.5,NaN,5.85,12,5.25,4.7,6,8,10,11,,9.3,7,10.06,,5,8.59,17.14,5.5,6.25,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-27,6.61,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,10,11,,9.3,7,10.06,,5,8.59,18.14,5.5,6.25,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-28,6.72,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,7.91,11,,9.3,7,10.06,,5,8.59,18.08,5.5,6.25,6.5,,10,17.5,,27.33,33,7,3.75,1.5,,6.5,4.25,11.75
2000-06-29,6.74,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,7.76,11,,9.3,7,10.06,,5,8.59,18.06,5.5,6.25,6.5,,10,17.5,,27.33,33,,3.75,1.5,,6.5,4.25,11.75
2000-06-30,7.13,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,6.83,11,,9.3,7,10.06,,5,8.59,18.06,5.5,6.25,6.5,,10,17.5,,27.33,33,,3.75,1.5,,6.5,4.25,11.75
2000-07-01,NaN,,17.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
2000-07-02,NaN,,17.5,NaN,,NaN,5.85,12,,,,NaN,NaN,NaN,,9.3,,NaN,,,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,NaN
2000-07-03,7.38,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,9.58,11,,9.3,7,10.06,,5,8.59,15.92,5.5,6.25,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,4.25,11.75
2000-07-04,7.36,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,9.94,11,,9.3,7,10.06,,5,8.59,16.06,5.5,6.25,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,4.25,11.75
2000-07-05,7.04,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,7.68,11,,9.3,7,10.06,,5,8.28,15.2,5.5,6.25,6.5,,10,17.5,,26.34,33,7,3.75,1.5,,6.5,4.25,11.75
2000-07-06,6.86,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,7.89,11,,9.3,7,10.06,,5,8.28,14.37,5.5,6.25,6.5,,10,17.5,,26.34,33,,3.75,1.5,,6.5,4.25,11.75
2000-07-07,6.81,6,17.5,5.75,3.5,5.5,5.85,12,5.25,4.7,6,8,4.99,11,,9.3,7,10.06,,5,8.28,14,5.5,6.25,6.5,,10,17.5,,26.34,33,,3.75,1.5,,6.5,4.25,11.75
2000-07-08,NaN,,17.5,NaN,,NaN,5.85,12,,,,8,NaN,NaN,,9.3,,NaN,,5,NaN,NaN,5.5,NaN,6.5,,NaN,NaN,,26.34,NaN,7,,1.5,,6.5,4.25,11.75
